Total number of shapes is 5000 
Shapes are:
0: Circle, x = 68, y = 41, radius = 200, perimeter = 1256, color = LIGHT_BLUE
919: Circle, x = 130, y = 192, radius = 94, perimeter = 590.32, color = GREEN
920: Circle, x = 140, y = 142, radius = 94, perimeter = 590.32, color = VIOLET
921: Circle, x = 16, y = 122, radius = 94, perimeter = 590.32, color = LIGHT_BLUE
922: Circle, x = 12, y = 102, radius = 94, perimeter = 590.32, color = BLUE
923: Circle, x = 100, y = 22, radius = 94, perimeter = 590.32, color = LIGHT_BLUE
924: Circle, x = 86, y = 179, radius = 94, perimeter = 590.32, color = RED
925: Circle, x = 175, y = 34, radius = 94, perimeter = 590.32, color = RED
926: Circle, x = 48, y = 36, radius = 94, perimeter = 590.32, color = VIOLET
927: Circle, x = 187, y = 132, radius = 94, perimeter = 590.32, color = ORANGE
928: Circle, x = 156, y = 195, radius = 94, perimeter = 590.32, color = LIGHT_BLUE
929: Circle, x = 174, y = 58, radius = 94, perimeter = 590.32, color = VIOLET
930: Rectangle, x_up_left = 2, y_up_left = 189, x_down_right = 200, y_down_right = 92, perimeter = 590, color = ORANGE
931: Rectangle, x_up_left = 60, y_up_left = 183, x_down_right = 196, y_down_right = 26, perimeter = 586, color = VIOLET
932: Rectangle, x_up_left = 10, y_up_left = 174, x_down_right = 187, y_down_right = 58, perimeter = 586, color = LIGHT_BLUE
933: Circle, x = 150, y = 175, radius = 93, perimeter = 584.04, color = LIGHT_BLUE
934: Circle, x = 132, y = 97, radius = 93, perimeter = 584.04, color = BLUE
935: Circle, x = 45, y = 71, radius = 93, perimeter = 584.04, color = BLUE
936: Circle, x = 13, y = 29, radius = 93, perimeter = 584.04, color = VIOLET
937: Circle, x = 141, y = 51, radius = 93, perimeter = 584.04, color = BLUE
938: Circle, x = 84, y = 70, radius = 93, perimeter = 584.04, color = RED
939: Circle, x = 23, y = 33, radius = 93, perimeter = 584.04, color = VIOLET
940: Rectangle, x_up_left = 19, y_up_left = 156, x_down_right = 193, y_down_right = 38, perimeter = 584, color = RED
941: Rectangle, x_up_left = 4, y_up_left = 148, x_down_right = 173, y_down_right = 25, perimeter = 584, color = BLUE
942: Triangle, x1 = 196, y1 = 195, x2 = 130, y2 = 14, x3 = 13, y3 = 182, perimeter = 580.846, color = VIOLET
943: Triangle, x1 = 5, y1 = 194, x2 = 20, y2 = 8, x3 = 179, y3 = 47, perimeter = 578.1, color = RED
944: Rectangle, x_up_left = 51, y_up_left = 189, x_down_right = 169, y_down_right = 18, perimeter = 578, color = GREEN
945: Circle, x = 129, y = 194, radius = 92, perimeter = 577.76, color = VIOLET
946: Circle, x = 199, y = 182, radius = 92, perimeter = 577.76, color = RED
947: Circle, x = 194, y = 19, radius = 92, perimeter = 577.76, color = YELLOW
948: Circle, x = 152, y = 76, radius = 92, perimeter = 577.76, color = BLUE
949: Circle, x = 114, y = 67, radius = 92, perimeter = 577.76, color = GREEN
950: Circle, x = 59, y = 129, radius = 92, perimeter = 577.76, color = ORANGE
951: Circle, x = 144, y = 166, radius = 92, perimeter = 577.76, color = BLUE
952: Circle, x = 191, y = 131, radius = 92, perimeter = 577.76, color = BLUE
953: Circle, x = 200, y = 83, radius = 92, perimeter = 577.76, color = GREEN
954: Rectangle, x_up_left = 26, y_up_left = 186, x_down_right = 199, y_down_right = 71, perimeter = 576, color = YELLOW
955: Rectangle, x_up_left = 67, y_up_left = 194, x_down_right = 200, y_down_right = 40, perimeter = 574, color = YELLOW
956: Rectangle, x_up_left = 55, y_up_left = 196, x_down_right = 177, y_down_right = 31, perimeter = 574, color = VIOLET
957: Rectangle, x_up_left = 60, y_up_left = 151, x_down_right = 197, y_down_right = 2, perimeter = 572, color = ORANGE
958: Circle, x = 59, y = 51, radius = 91, perimeter = 571.48, color = LIGHT_BLUE
959: Circle, x = 19, y = 46, radius = 91, perimeter = 571.48, color = BLUE
960: Circle, x = 5, y = 45, radius = 91, perimeter = 571.48, color = YELLOW
961: Circle, x = 83, y = 190, radius = 91, perimeter = 571.48, color = GREEN
962: Circle, x = 95, y = 14, radius = 91, perimeter = 571.48, color = LIGHT_BLUE
963: Circle, x = 107, y = 126, radius = 91, perimeter = 571.48, color = YELLOW
964: Circle, x = 6, y = 171, radius = 91, perimeter = 571.48, color = LIGHT_BLUE
965: Circle, x = 111, y = 41, radius = 91, perimeter = 571.48, color = VIOLET
966: Circle, x = 14, y = 153, radius = 91, perimeter = 571.48, color = RED
967: Rectangle, x_up_left = 39, y_up_left = 195, x_down_right = 167, y_down_right = 38, perimeter = 570, color = YELLOW
968: Circle, x = 69, y = 50, radius = 90, perimeter = 565.2, color = YELLOW
969: Circle, x = 120, y = 61, radius = 90, perimeter = 565.2, color = GREEN
970: Circle, x = 53, y = 141, radius = 90, perimeter = 565.2, color = YELLOW
971: Circle, x = 112, y = 40, radius = 90, perimeter = 565.2, color = VIOLET
972: Circle, x = 150, y = 86, radius = 90, perimeter = 565.2, color = YELLOW
973: Circle, x = 4, y = 131, radius = 90, perimeter = 565.2, color = GREEN
974: Circle, x = 197, y = 7, radius = 90, perimeter = 565.2, color = YELLOW
975: Circle, x = 93, y = 90, radius = 90, perimeter = 565.2, color = RED
976: Circle, x = 50, y = 64, radius = 90, perimeter = 565.2, color = VIOLET
977: Circle, x = 188, y = 176, radius = 90, perimeter = 565.2, color = YELLOW
978: Rectangle, x_up_left = 72, y_up_left = 182, x_down_right = 192, y_down_right = 20, perimeter = 564, color = RED
979: Triangle, x1 = 9, y1 = 145, x2 = 64, y2 = 8, x3 = 196, y3 = 188, perimeter = 562.721, color = LIGHT_BLUE
980: Rectangle, x_up_left = 7, y_up_left = 195, x_down_right = 145, y_down_right = 53, perimeter = 560, color = YELLOW
981: Circle, x = 148, y = 90, radius = 89, perimeter = 558.92, color = ORANGE
982: Circle, x = 169, y = 89, radius = 89, perimeter = 558.92, color = LIGHT_BLUE
983: Circle, x = 95, y = 194, radius = 89, perimeter = 558.92, color = RED
984: Circle, x = 93, y = 93, radius = 89, perimeter = 558.92, color = GREEN
985: Circle, x = 87, y = 126, radius = 89, perimeter = 558.92, color = ORANGE
986: Circle, x = 55, y = 106, radius = 89, perimeter = 558.92, color = VIOLET
987: Circle, x = 40, y = 85, radius = 89, perimeter = 558.92, color = VIOLET
988: Circle, x = 42, y = 86, radius = 89, perimeter = 558.92, color = LIGHT_BLUE
989: Circle, x = 48, y = 99, radius = 89, perimeter = 558.92, color = BLUE
990: Circle, x = 105, y = 43, radius = 89, perimeter = 558.92, color = VIOLET
991: Circle, x = 60, y = 164, radius = 89, perimeter = 558.92, color = ORANGE
992: Rectangle, x_up_left = 6, y_up_left = 164, x_down_right = 178, y_down_right = 57, perimeter = 558, color = BLUE
993: Rectangle, x_up_left = 32, y_up_left = 189, x_down_right = 177, y_down_right = 55, perimeter = 558, color = VIOLET
994: Rectangle, x_up_left = 71, y_up_left = 154, x_down_right = 200, y_down_right = 4, perimeter = 558, color = ORANGE
995: Rectangle, x_up_left = 11, y_up_left = 185, x_down_right = 109, y_down_right = 4, perimeter = 558, color = VIOLET
996: Triangle, x1 = 26, y1 = 188, x2 = 191, y2 = 46, x3 = 31, y3 = 12, perimeter = 557.334, color = ORANGE
997: Rectangle, x_up_left = 9, y_up_left = 134, x_down_right = 183, y_down_right = 30, perimeter = 556, color = RED
998: Triangle, x1 = 191, y1 = 192, x2 = 36, y2 = 114, x3 = 193, y3 = 4, perimeter = 553.23, color = YELLOW
999: Circle, x = 134, y = 187, radius = 88, perimeter = 552.64, color = RED
1000: Circle, x = 20, y = 80, radius = 88, perimeter = 552.64, color = LIGHT_BLUE
1001: Circle, x = 155, y = 94, radius = 88, perimeter = 552.64, color = BLUE
1002: Circle, x = 116, y = 49, radius = 88, perimeter = 552.64, color = ORANGE
1003: Circle, x = 71, y = 134, radius = 88, perimeter = 552.64, color = ORANGE
1004: Circle, x = 109, y = 63, radius = 88, perimeter = 552.64, color = RED
1005: Circle, x = 168, y = 70, radius = 88, perimeter = 552.64, color = LIGHT_BLUE
1006: Circle, x = 149, y = 134, radius = 88, perimeter = 552.64, color = YELLOW
1007: Circle, x = 101, y = 55, radius = 88, perimeter = 552.64, color = ORANGE
1008: Circle, x = 54, y = 128, radius = 88, perimeter = 552.64, color = LIGHT_BLUE
1009: Rectangle, x_up_left = 11, y_up_left = 149, x_down_right = 157, y_down_right = 20, perimeter = 550, color = LIGHT_BLUE
1010: Triangle, x1 = 151, y1 = 166, x2 = 6, y2 = 5, x3 = 12, y3 = 196, perimeter = 549.965, color = VIOLET
1011: Rectangle, x_up_left = 44, y_up_left = 194, x_down_right = 125, y_down_right = 1, perimeter = 548, color = GREEN
1012: Triangle, x1 = 16, y1 = 129, x2 = 181, y2 = 19, x3 = 199, y3 = 178, perimeter = 547.768, color = YELLOW
1013: Circle, x = 56, y = 199, radius = 87, perimeter = 546.36, color = VIOLET
1014: Circle, x = 179, y = 184, radius = 87, perimeter = 546.36, color = ORANGE
1015: Circle, x = 132, y = 32, radius = 87, perimeter = 546.36, color = YELLOW
1016: Circle, x = 77, y = 141, radius = 87, perimeter = 546.36, color = YELLOW
1017: Circle, x = 158, y = 36, radius = 87, perimeter = 546.36, color = YELLOW
1018: Circle, x = 130, y = 153, radius = 87, perimeter = 546.36, color = VIOLET
1019: Circle, x = 181, y = 68, radius = 87, perimeter = 546.36, color = LIGHT_BLUE
1020: Circle, x = 111, y = 30, radius = 87, perimeter = 546.36, color = YELLOW
1021: Circle, x = 144, y = 72, radius = 87, perimeter = 546.36, color = ORANGE
1022: Circle, x = 5, y = 107, radius = 87, perimeter = 546.36, color = ORANGE
1023: Rectangle, x_up_left = 28, y_up_left = 198, x_down_right = 179, y_down_right = 76, perimeter = 546, color = ORANGE
1024: Triangle, x1 = 46, y1 = 199, x2 = 185, y2 = 196, x3 = 53, y3 = 16, perimeter = 545.379, color = GREEN
1025: Rectangle, x_up_left = 4, y_up_left = 193, x_down_right = 137, y_down_right = 54, perimeter = 544, color = VIOLET
1026: Rectangle, x_up_left = 58, y_up_left = 178, x_down_right = 163, y_down_right = 12, perimeter = 542, color = BLUE
1027: Circle, x = 179, y = 143, radius = 86, perimeter = 540.08, color = LIGHT_BLUE
1028: Circle, x = 92, y = 129, radius = 86, perimeter = 540.08, color = YELLOW
1029: Circle, x = 121, y = 30, radius = 86, perimeter = 540.08, color = RED
1030: Circle, x = 73, y = 32, radius = 86, perimeter = 540.08, color = ORANGE
1031: Circle, x = 157, y = 100, radius = 86, perimeter = 540.08, color = GREEN
1032: Circle, x = 173, y = 85, radius = 86, perimeter = 540.08, color = VIOLET
1033: Circle, x = 161, y = 69, radius = 86, perimeter = 540.08, color = GREEN
1034: Circle, x = 123, y = 76, radius = 86, perimeter = 540.08, color = VIOLET
1035: Circle, x = 181, y = 10, radius = 86, perimeter = 540.08, color = BLUE
1036: Circle, x = 159, y = 144, radius = 86, perimeter = 540.08, color = YELLOW
1037: Rectangle, x_up_left = 26, y_up_left = 116, x_down_right = 188, y_down_right = 8, perimeter = 540, color = GREEN
1038: Rectangle, x_up_left = 22, y_up_left = 158, x_down_right = 180, y_down_right = 46, perimeter = 540, color = LIGHT_BLUE
1039: Triangle, x1 = 181, y1 = 197, x2 = 28, y2 = 1, x3 = 58, y3 = 160, perimeter = 538.896, color = YELLOW
1040: Rectangle, x_up_left = 11, y_up_left = 165, x_down_right = 147, y_down_right = 32, perimeter = 538, color = BLUE
1041: Rectangle, x_up_left = 13, y_up_left = 168, x_down_right = 151, y_down_right = 37, perimeter = 538, color = ORANGE
1042: Rectangle, x_up_left = 74, y_up_left = 191, x_down_right = 194, y_down_right = 42, perimeter = 538, color = GREEN
1043: Rectangle, x_up_left = 20, y_up_left = 139, x_down_right = 163, y_down_right = 13, perimeter = 538, color = GREEN
1044: Triangle, x1 = 23, y1 = 186, x2 = 27, y2 = 19, x3 = 184, y3 = 152, perimeter = 537.361, color = RED
1045: Rectangle, x_up_left = 19, y_up_left = 195, x_down_right = 144, y_down_right = 52, perimeter = 536, color = BLUE
1046: Triangle, x1 = 122, y1 = 9, x2 = 200, y2 = 177, x3 = 8, y3 = 88, perimeter = 535.546, color = BLUE
1047: Rectangle, x_up_left = 28, y_up_left = 152, x_down_right = 182, y_down_right = 39, perimeter = 534, color = RED
1048: Rectangle, x_up_left = 58, y_up_left = 160, x_down_right = 197, y_down_right = 32, perimeter = 534, color = VIOLET
1049: Circle, x = 87, y = 49, radius = 85, perimeter = 533.8, color = BLUE
1050: Circle, x = 11, y = 68, radius = 85, perimeter = 533.8, color = RED
1051: Circle, x = 137, y = 120, radius = 85, perimeter = 533.8, color = RED
1052: Circle, x = 28, y = 186, radius = 85, perimeter = 533.8, color = RED
1053: Circle, x = 187, y = 51, radius = 85, perimeter = 533.8, color = RED
1054: Circle, x = 60, y = 102, radius = 85, perimeter = 533.8, color = ORANGE
1055: Circle, x = 193, y = 14, radius = 85, perimeter = 533.8, color = YELLOW
1056: Triangle, x1 = 93, y1 = 10, x2 = 1, y2 = 185, x3 = 163, y3 = 167, perimeter = 532.605, color = RED
1057: Rectangle, x_up_left = 70, y_up_left = 191, x_down_right = 183, y_down_right = 38, perimeter = 532, color = VIOLET
1058: Rectangle, x_up_left = 4, y_up_left = 177, x_down_right = 171, y_down_right = 78, perimeter = 532, color = LIGHT_BLUE
1059: Rectangle, x_up_left = 53, y_up_left = 179, x_down_right = 158, y_down_right = 18, perimeter = 532, color = BLUE
1060: Rectangle, x_up_left = 40, y_up_left = 116, x_down_right = 199, y_down_right = 9, perimeter = 532, color = LIGHT_BLUE
1061: Rectangle, x_up_left = 81, y_up_left = 189, x_down_right = 173, y_down_right = 16, perimeter = 530, color = YELLOW
1062: Rectangle, x_up_left = 30, y_up_left = 195, x_down_right = 169, y_down_right = 69, perimeter = 530, color = RED
1063: Rectangle, x_up_left = 2, y_up_left = 153, x_down_right = 117, y_down_right = 3, perimeter = 530, color = LIGHT_BLUE
1064: Rectangle, x_up_left = 44, y_up_left = 156, x_down_right = 179, y_down_right = 26, perimeter = 530, color = VIOLET
1065: Triangle, x1 = 56, y1 = 57, x2 = 185, y2 = 194, x3 = 199, y3 = 6, perimeter = 528.518, color = BLUE
1066: Circle, x = 51, y = 153, radius = 84, perimeter = 527.52, color = VIOLET
1067: Circle, x = 84, y = 154, radius = 84, perimeter = 527.52, color = GREEN
1068: Circle, x = 83, y = 29, radius = 84, perimeter = 527.52, color = VIOLET
1069: Circle, x = 125, y = 97, radius = 84, perimeter = 527.52, color = ORANGE
1070: Circle, x = 130, y = 161, radius = 84, perimeter = 527.52, color = ORANGE
1071: Circle, x = 161, y = 167, radius = 84, perimeter = 527.52, color = BLUE
1072: Circle, x = 135, y = 172, radius = 84, perimeter = 527.52, color = VIOLET
1073: Circle, x = 2, y = 121, radius = 84, perimeter = 527.52, color = RED
1074: Circle, x = 34, y = 125, radius = 84, perimeter = 527.52, color = LIGHT_BLUE
1075: Circle, x = 107, y = 9, radius = 84, perimeter = 527.52, color = YELLOW
1076: Circle, x = 43, y = 39, radius = 84, perimeter = 527.52, color = VIOLET
1077: Rectangle, x_up_left = 17, y_up_left = 192, x_down_right = 188, y_down_right = 100, perimeter = 526, color = VIOLET
1078: Rectangle, x_up_left = 58, y_up_left = 147, x_down_right = 176, y_down_right = 2, perimeter = 526, color = RED
1079: Rectangle, x_up_left = 10, y_up_left = 158, x_down_right = 171, y_down_right = 56, perimeter = 526, color = VIOLET
1080: Triangle, x1 = 15, y1 = 193, x2 = 182, y2 = 142, x3 = 3, y3 = 48, perimeter = 522.29, color = BLUE
1081: Rectangle, x_up_left = 6, y_up_left = 189, x_down_right = 197, y_down_right = 119, perimeter = 522, color = BLUE
1082: Circle, x = 110, y = 116, radius = 83, perimeter = 521.24, color = GREEN
1083: Circle, x = 190, y = 125, radius = 83, perimeter = 521.24, color = VIOLET
1084: Circle, x = 79, y = 25, radius = 83, perimeter = 521.24, color = ORANGE
1085: Circle, x = 160, y = 3, radius = 83, perimeter = 521.24, color = RED
1086: Circle, x = 62, y = 71, radius = 83, perimeter = 521.24, color = YELLOW
1087: Circle, x = 61, y = 8, radius = 83, perimeter = 521.24, color = RED
1088: Circle, x = 130, y = 131, radius = 83, perimeter = 521.24, color = RED
1089: Circle, x = 153, y = 91, radius = 83, perimeter = 521.24, color = ORANGE
1090: Triangle, x1 = 128, y1 = 5, x2 = 17, y2 = 71, x3 = 191, y3 = 180, perimeter = 520.456, color = BLUE
1091: Triangle, x1 = 181, y1 = 79, x2 = 53, y2 = 2, x3 = 53, y3 = 198, perimeter = 520.147, color = VIOLET
1092: Rectangle, x_up_left = 50, y_up_left = 176, x_down_right = 143, y_down_right = 9, perimeter = 520, color = GREEN
1093: Triangle, x1 = 170, y1 = 189, x2 = 110, y2 = 13, x3 = 1, y3 = 56, perimeter = 518.179, color = ORANGE
1094: Rectangle, x_up_left = 41, y_up_left = 160, x_down_right = 171, y_down_right = 31, perimeter = 518, color = ORANGE
1095: Triangle, x1 = 135, y1 = 179, x2 = 178, y2 = 5, x3 = 40, y3 = 4, perimeter = 516.361, color = YELLOW
1096: Rectangle, x_up_left = 25, y_up_left = 198, x_down_right = 147, y_down_right = 62, perimeter = 516, color = YELLOW
1097: Rectangle, x_up_left = 84, y_up_left = 158, x_down_right = 185, y_down_right = 1, perimeter = 516, color = YELLOW
1098: Circle, x = 168, y = 33, radius = 82, perimeter = 514.96, color = VIOLET
1099: Circle, x = 167, y = 7, radius = 82, perimeter = 514.96, color = BLUE
1100: Circle, x = 131, y = 161, radius = 82, perimeter = 514.96, color = ORANGE
1101: Circle, x = 115, y = 182, radius = 82, perimeter = 514.96, color = VIOLET
1102: Circle, x = 87, y = 183, radius = 82, perimeter = 514.96, color = ORANGE
1103: Circle, x = 15, y = 122, radius = 82, perimeter = 514.96, color = RED
1104: Circle, x = 161, y = 107, radius = 82, perimeter = 514.96, color = LIGHT_BLUE
1105: Circle, x = 136, y = 189, radius = 82, perimeter = 514.96, color = YELLOW
1106: Triangle, x1 = 19, y1 = 13, x2 = 120, y2 = 63, x3 = 196, y3 = 192, perimeter = 514.156, color = ORANGE
1107: Rectangle, x_up_left = 37, y_up_left = 190, x_down_right = 135, y_down_right = 31, perimeter = 514, color = RED
1108: Rectangle, x_up_left = 1, y_up_left = 196, x_down_right = 66, y_down_right = 5, perimeter = 512, color = VIOLET
1109: Rectangle, x_up_left = 15, y_up_left = 140, x_down_right = 140, y_down_right = 9, perimeter = 512, color = BLUE
1110: Triangle, x1 = 200, y1 = 179, x2 = 138, y2 = 34, x3 = 29, y3 = 181, perimeter = 511.714, color = ORANGE
1111: Triangle, x1 = 8, y1 = 176, x2 = 6, y2 = 40, x3 = 151, y3 = 2, perimeter = 511.133, color = VIOLET
1112: Rectangle, x_up_left = 13, y_up_left = 124, x_down_right = 154, y_down_right = 10, perimeter = 510, color = GREEN
1113: Rectangle, x_up_left = 20, y_up_left = 103, x_down_right = 192, y_down_right = 20, perimeter = 510, color = YELLOW
1114: Rectangle, x_up_left = 6, y_up_left = 170, x_down_right = 97, y_down_right = 6, perimeter = 510, color = RED
1115: Rectangle, x_up_left = 12, y_up_left = 136, x_down_right = 166, y_down_right = 35, perimeter = 510, color = VIOLET
1116: Circle, x = 157, y = 103, radius = 81, perimeter = 508.68, color = GREEN
1117: Circle, x = 60, y = 114, radius = 81, perimeter = 508.68, color = BLUE
1118: Circle, x = 42, y = 101, radius = 81, perimeter = 508.68, color = RED
1119: Circle, x = 91, y = 25, radius = 81, perimeter = 508.68, color = ORANGE
1120: Circle, x = 94, y = 141, radius = 81, perimeter = 508.68, color = GREEN
1121: Circle, x = 60, y = 196, radius = 81, perimeter = 508.68, color = VIOLET
1122: Circle, x = 43, y = 40, radius = 81, perimeter = 508.68, color = RED
1123: Circle, x = 176, y = 97, radius = 81, perimeter = 508.68, color = LIGHT_BLUE
1124: Circle, x = 138, y = 197, radius = 81, perimeter = 508.68, color = VIOLET
1125: Circle, x = 60, y = 193, radius = 81, perimeter = 508.68, color = LIGHT_BLUE
1126: Circle, x = 162, y = 38, radius = 81, perimeter = 508.68, color = BLUE
1127: Rectangle, x_up_left = 97, y_up_left = 199, x_down_right = 195, y_down_right = 43, perimeter = 508, color = VIOLET
1128: Rectangle, x_up_left = 53, y_up_left = 181, x_down_right = 178, y_down_right = 52, perimeter = 508, color = LIGHT_BLUE
1129: Rectangle, x_up_left = 5, y_up_left = 182, x_down_right = 151, y_down_right = 75, perimeter = 506, color = ORANGE
1130: Triangle, x1 = 6, y1 = 197, x2 = 195, y2 = 79, x3 = 144, y3 = 33, perimeter = 505.828, color = YELLOW
1131: Triangle, x1 = 57, y1 = 129, x2 = 7, y2 = 45, x3 = 200, y3 = 200, perimeter = 504.947, color = BLUE
1132: Rectangle, x_up_left = 27, y_up_left = 178, x_down_right = 167, y_down_right = 66, perimeter = 504, color = GREEN
1133: Rectangle, x_up_left = 21, y_up_left = 102, x_down_right = 198, y_down_right = 27, perimeter = 504, color = RED
1134: Rectangle, x_up_left = 19, y_up_left = 194, x_down_right = 189, y_down_right = 112, perimeter = 504, color = GREEN
1135: Triangle, x1 = 195, y1 = 162, x2 = 8, y2 = 29, x3 = 11, y3 = 111, perimeter = 502.465, color = ORANGE
1136: Circle, x = 194, y = 97, radius = 80, perimeter = 502.4, color = RED
1137: Circle, x = 1, y = 77, radius = 80, perimeter = 502.4, color = RED
1138: Circle, x = 82, y = 175, radius = 80, perimeter = 502.4, color = GREEN
1139: Circle, x = 176, y = 103, radius = 80, perimeter = 502.4, color = BLUE
1140: Circle, x = 1, y = 160, radius = 80, perimeter = 502.4, color = GREEN
1141: Circle, x = 167, y = 140, radius = 80, perimeter = 502.4, color = VIOLET
1142: Circle, x = 3, y = 75, radius = 80, perimeter = 502.4, color = GREEN
1143: Circle, x = 149, y = 190, radius = 80, perimeter = 502.4, color = RED
1144: Circle, x = 123, y = 59, radius = 80, perimeter = 502.4, color = ORANGE
1145: Rectangle, x_up_left = 66, y_up_left = 134, x_down_right = 186, y_down_right = 3, perimeter = 502, color = VIOLET
1146: Rectangle, x_up_left = 83, y_up_left = 182, x_down_right = 185, y_down_right = 33, perimeter = 502, color = GREEN
1147: Rectangle, x_up_left = 34, y_up_left = 182, x_down_right = 193, y_down_right = 90, perimeter = 502, color = RED
1148: Rectangle, x_up_left = 22, y_up_left = 114, x_down_right = 176, y_down_right = 17, perimeter = 502, color = GREEN
1149: Rectangle, x_up_left = 11, y_up_left = 111, x_down_right = 165, y_down_right = 14, perimeter = 502, color = YELLOW
1150: Triangle, x1 = 159, y1 = 173, x2 = 193, y2 = 21, x3 = 44, y3 = 193, perimeter = 500.046, color = YELLOW
1151: Rectangle, x_up_left = 4, y_up_left = 145, x_down_right = 163, y_down_right = 54, perimeter = 500, color = RED
1152: Triangle, x1 = 131, y1 = 24, x2 = 35, y2 = 151, x3 = 193, y3 = 190, perimeter = 499.144, color = LIGHT_BLUE
1153: Rectangle, x_up_left = 13, y_up_left = 196, x_down_right = 134, y_down_right = 68, perimeter = 498, color = YELLOW
1154: Triangle, x1 = 104, y1 = 1, x2 = 95, y2 = 200, x3 = 2, y3 = 32, perimeter = 497.834, color = GREEN
1155: Triangle, x1 = 49, y1 = 170, x2 = 193, y2 = 13, x3 = 62, y3 = 17, perimeter = 497.65, color = RED
1156: Triangle, x1 = 77, y1 = 141, x2 = 7, y2 = 9, x3 = 200, y3 = 57, perimeter = 497.238, color = LIGHT_BLUE
1157: Triangle, x1 = 176, y1 = 187, x2 = 14, y2 = 158, x3 = 185, y3 = 55, perimeter = 496.506, color = BLUE
1158: Circle, x = 81, y = 57, radius = 79, perimeter = 496.12, color = ORANGE
1159: Circle, x = 87, y = 162, radius = 79, perimeter = 496.12, color = LIGHT_BLUE
1160: Circle, x = 109, y = 138, radius = 79, perimeter = 496.12, color = VIOLET
1161: Circle, x = 185, y = 120, radius = 79, perimeter = 496.12, color = BLUE
1162: Circle, x = 137, y = 168, radius = 79, perimeter = 496.12, color = LIGHT_BLUE
1163: Circle, x = 152, y = 139, radius = 79, perimeter = 496.12, color = YELLOW
1164: Circle, x = 105, y = 47, radius = 79, perimeter = 496.12, color = LIGHT_BLUE
1165: Circle, x = 25, y = 61, radius = 79, perimeter = 496.12, color = VIOLET
1166: Rectangle, x_up_left = 17, y_up_left = 190, x_down_right = 97, y_down_right = 22, perimeter = 496, color = ORANGE
1167: Triangle, x1 = 162, y1 = 19, x2 = 11, y2 = 186, x3 = 187, y3 = 15, perimeter = 495.854, color = GREEN
1168: Triangle, x1 = 2, y1 = 168, x2 = 7, y2 = 60, x3 = 182, y3 = 56, perimeter = 495.161, color = LIGHT_BLUE
1169: Triangle, x1 = 173, y1 = 184, x2 = 180, y2 = 61, x3 = 3, y3 = 97, perimeter = 494.792, color = YELLOW
1170: Rectangle, x_up_left = 62, y_up_left = 189, x_down_right = 142, y_down_right = 22, perimeter = 494, color = GREEN
1171: Rectangle, x_up_left = 24, y_up_left = 180, x_down_right = 162, y_down_right = 71, perimeter = 494, color = YELLOW
1172: Rectangle, x_up_left = 28, y_up_left = 152, x_down_right = 140, y_down_right = 17, perimeter = 494, color = RED
1173: Rectangle, x_up_left = 67, y_up_left = 185, x_down_right = 190, y_down_right = 61, perimeter = 494, color = BLUE
1174: Triangle, x1 = 28, y1 = 198, x2 = 194, y2 = 61, x3 = 90, y3 = 38, perimeter = 493.338, color = GREEN
1175: Triangle, x1 = 63, y1 = 195, x2 = 20, y2 = 12, x3 = 148, y3 = 45, perimeter = 492.579, color = VIOLET
1176: Triangle, x1 = 131, y1 = 10, x2 = 16, y2 = 186, x3 = 177, y3 = 14, perimeter = 492.009, color = VIOLET
1177: Rectangle, x_up_left = 64, y_up_left = 168, x_down_right = 175, y_down_right = 33, perimeter = 492, color = RED
1178: Rectangle, x_up_left = 42, y_up_left = 182, x_down_right = 184, y_down_right = 78, perimeter = 492, color = GREEN
1179: Rectangle, x_up_left = 74, y_up_left = 185, x_down_right = 137, y_down_right = 2, perimeter = 492, color = GREEN
1180: Triangle, x1 = 175, y1 = 13, x2 = 38, y2 = 158, x3 = 186, y3 = 157, perimeter = 491.907, color = BLUE
1181: Rectangle, x_up_left = 29, y_up_left = 200, x_down_right = 96, y_down_right = 22, perimeter = 490, color = VIOLET
1182: Rectangle, x_up_left = 55, y_up_left = 182, x_down_right = 187, y_down_right = 69, perimeter = 490, color = RED
1183: Circle, x = 142, y = 200, radius = 78, perimeter = 489.84, color = BLUE
1184: Circle, x = 45, y = 117, radius = 78, perimeter = 489.84, color = YELLOW
1185: Circle, x = 125, y = 131, radius = 78, perimeter = 489.84, color = LIGHT_BLUE
1186: Circle, x = 163, y = 149, radius = 78, perimeter = 489.84, color = GREEN
1187: Rectangle, x_up_left = 16, y_up_left = 184, x_down_right = 96, y_down_right = 20, perimeter = 488, color = BLUE
1188: Rectangle, x_up_left = 31, y_up_left = 103, x_down_right = 181, y_down_right = 9, perimeter = 488, color = GREEN
1189: Rectangle, x_up_left = 39, y_up_left = 146, x_down_right = 139, y_down_right = 2, perimeter = 488, color = VIOLET
1190: Triangle, x1 = 39, y1 = 12, x2 = 169, y2 = 183, x3 = 26, y3 = 133, perimeter = 487.99, color = RED
1191: Triangle, x1 = 11, y1 = 189, x2 = 198, y2 = 57, x3 = 89, y3 = 199, perimeter = 486.545, color = BLUE
1192: Rectangle, x_up_left = 68, y_up_left = 164, x_down_right = 148, y_down_right = 1, perimeter = 486, color = YELLOW
1193: Rectangle, x_up_left = 72, y_up_left = 154, x_down_right = 196, y_down_right = 35, perimeter = 486, color = BLUE
