Total number of shapes is 10000 
Shapes are:
0: Circle, x = 89, y = 177, radius = 200, perimeter = 1256, color = ORANGE
3232: Triangle, x1 = 59, y1 = 181, x2 = 145, y2 = 166, x3 = 133, y3 = 17, perimeter = 416.703, color = VIOLET
3233: Triangle, x1 = 109, y1 = 2, x2 = 98, y2 = 93, x3 = 1, y3 = 171, perimeter = 416.695, color = RED
3234: Triangle, x1 = 183, y1 = 158, x2 = 174, y2 = 90, x3 = 9, y3 = 103, perimeter = 416.59, color = RED
3235: Triangle, x1 = 177, y1 = 41, x2 = 162, y2 = 162, x3 = 37, y3 = 129, perimeter = 416.569, color = LIGHT_BLUE
3236: Triangle, x1 = 10, y1 = 181, x2 = 48, y2 = 12, x3 = 115, y3 = 57, perimeter = 416.413, color = LIGHT_BLUE
3237: Triangle, x1 = 174, y1 = 166, x2 = 115, y2 = 72, x3 = 5, y3 = 151, perimeter = 416.075, color = GREEN
3238: Rectangle, x_up_left = 23, y_up_left = 95, x_down_right = 163, y_down_right = 27, perimeter = 416, color = RED
3239: Rectangle, x_up_left = 15, y_up_left = 166, x_down_right = 195, y_down_right = 138, perimeter = 416, color = LIGHT_BLUE
3240: Rectangle, x_up_left = 10, y_up_left = 168, x_down_right = 130, y_down_right = 80, perimeter = 416, color = RED
3241: Rectangle, x_up_left = 47, y_up_left = 144, x_down_right = 176, y_down_right = 65, perimeter = 416, color = VIOLET
3242: Rectangle, x_up_left = 55, y_up_left = 188, x_down_right = 171, y_down_right = 96, perimeter = 416, color = RED
3243: Rectangle, x_up_left = 18, y_up_left = 127, x_down_right = 199, y_down_right = 100, perimeter = 416, color = ORANGE
3244: Rectangle, x_up_left = 40, y_up_left = 143, x_down_right = 114, y_down_right = 9, perimeter = 416, color = RED
3245: Rectangle, x_up_left = 15, y_up_left = 187, x_down_right = 166, y_down_right = 130, perimeter = 416, color = RED
3246: Rectangle, x_up_left = 30, y_up_left = 60, x_down_right = 194, y_down_right = 16, perimeter = 416, color = VIOLET
3247: Rectangle, x_up_left = 21, y_up_left = 191, x_down_right = 93, y_down_right = 55, perimeter = 416, color = BLUE
3248: Rectangle, x_up_left = 9, y_up_left = 178, x_down_right = 102, y_down_right = 63, perimeter = 416, color = ORANGE
3249: Rectangle, x_up_left = 105, y_up_left = 196, x_down_right = 192, y_down_right = 75, perimeter = 416, color = ORANGE
3250: Rectangle, x_up_left = 34, y_up_left = 110, x_down_right = 163, y_down_right = 31, perimeter = 416, color = VIOLET
3251: Rectangle, x_up_left = 31, y_up_left = 166, x_down_right = 194, y_down_right = 121, perimeter = 416, color = VIOLET
3252: Rectangle, x_up_left = 54, y_up_left = 151, x_down_right = 169, y_down_right = 58, perimeter = 416, color = YELLOW
3253: Rectangle, x_up_left = 58, y_up_left = 188, x_down_right = 184, y_down_right = 106, perimeter = 416, color = RED
3254: Triangle, x1 = 157, y1 = 106, x2 = 196, y2 = 3, x3 = 33, y3 = 73, perimeter = 415.847, color = BLUE
3255: Triangle, x1 = 199, y1 = 4, x2 = 135, y2 = 144, x3 = 75, y3 = 160, perimeter = 415.31, color = LIGHT_BLUE
3256: Triangle, x1 = 60, y1 = 159, x2 = 54, y2 = 84, x3 = 180, y3 = 8, perimeter = 415.261, color = RED
3257: Triangle, x1 = 3, y1 = 52, x2 = 50, y2 = 100, x3 = 189, y3 = 136, perimeter = 414.853, color = GREEN
3258: Triangle, x1 = 102, y1 = 83, x2 = 190, y2 = 172, x3 = 190, y3 = 2, perimeter = 414.763, color = ORANGE
3259: Triangle, x1 = 46, y1 = 10, x2 = 88, y2 = 115, x3 = 155, y3 = 184, perimeter = 414.587, color = RED
3260: Triangle, x1 = 19, y1 = 181, x2 = 129, y2 = 126, x3 = 137, y3 = 28, perimeter = 414.527, color = LIGHT_BLUE
3261: Triangle, x1 = 145, y1 = 90, x2 = 8, y2 = 57, x3 = 13, y3 = 174, perimeter = 414.486, color = BLUE
3262: Circle, x = 83, y = 79, radius = 66, perimeter = 414.48, color = RED
3263: Circle, x = 178, y = 146, radius = 66, perimeter = 414.48, color = ORANGE
3264: Circle, x = 153, y = 8, radius = 66, perimeter = 414.48, color = RED
3265: Circle, x = 99, y = 114, radius = 66, perimeter = 414.48, color = ORANGE
3266: Circle, x = 105, y = 172, radius = 66, perimeter = 414.48, color = BLUE
3267: Circle, x = 178, y = 110, radius = 66, perimeter = 414.48, color = RED
3268: Triangle, x1 = 72, y1 = 179, x2 = 84, y2 = 48, x3 = 190, y3 = 174, perimeter = 414.312, color = BLUE
3269: Triangle, x1 = 39, y1 = 163, x2 = 153, y2 = 42, x3 = 137, y3 = 188, perimeter = 414.256, color = LIGHT_BLUE
3270: Triangle, x1 = 93, y1 = 28, x2 = 133, y2 = 191, x3 = 23, y3 = 119, perimeter = 414.113, color = YELLOW
3271: Triangle, x1 = 85, y1 = 36, x2 = 185, y2 = 86, x3 = 26, y3 = 152, perimeter = 414.1, color = ORANGE
3272: Rectangle, x_up_left = 103, y_up_left = 178, x_down_right = 156, y_down_right = 24, perimeter = 414, color = VIOLET
3273: Rectangle, x_up_left = 98, y_up_left = 199, x_down_right = 175, y_down_right = 69, perimeter = 414, color = LIGHT_BLUE
3274: Rectangle, x_up_left = 40, y_up_left = 170, x_down_right = 133, y_down_right = 56, perimeter = 414, color = ORANGE
3275: Rectangle, x_up_left = 3, y_up_left = 128, x_down_right = 194, y_down_right = 112, perimeter = 414, color = LIGHT_BLUE
3276: Rectangle, x_up_left = 17, y_up_left = 49, x_down_right = 198, y_down_right = 23, perimeter = 414, color = ORANGE
3277: Rectangle, x_up_left = 41, y_up_left = 139, x_down_right = 189, y_down_right = 80, perimeter = 414, color = LIGHT_BLUE
3278: Rectangle, x_up_left = 38, y_up_left = 124, x_down_right = 142, y_down_right = 21, perimeter = 414, color = RED
3279: Rectangle, x_up_left = 141, y_up_left = 187, x_down_right = 182, y_down_right = 21, perimeter = 414, color = ORANGE
3280: Rectangle, x_up_left = 10, y_up_left = 148, x_down_right = 89, y_down_right = 20, perimeter = 414, color = BLUE
3281: Rectangle, x_up_left = 44, y_up_left = 162, x_down_right = 120, y_down_right = 31, perimeter = 414, color = ORANGE
3282: Triangle, x1 = 11, y1 = 31, x2 = 56, y2 = 170, x3 = 148, y3 = 115, perimeter = 413.991, color = VIOLET
3283: Triangle, x1 = 71, y1 = 52, x2 = 31, y2 = 137, x3 = 191, y3 = 156, perimeter = 413.861, color = BLUE
3284: Triangle, x1 = 157, y1 = 112, x2 = 30, y2 = 31, x3 = 142, y3 = 184, perimeter = 413.791, color = VIOLET
3285: Triangle, x1 = 31, y1 = 184, x2 = 161, y2 = 81, x3 = 191, y3 = 53, perimeter = 413.682, color = VIOLET
3286: Triangle, x1 = 23, y1 = 110, x2 = 12, y2 = 38, x3 = 153, y3 = 174, perimeter = 413.636, color = GREEN
3287: Triangle, x1 = 84, y1 = 173, x2 = 39, y2 = 157, x3 = 141, y3 = 2, perimeter = 413.56, color = GREEN
3288: Triangle, x1 = 124, y1 = 192, x2 = 45, y2 = 167, x3 = 83, y3 = 19, perimeter = 413.454, color = RED
3289: Triangle, x1 = 13, y1 = 90, x2 = 156, y2 = 3, x3 = 199, y3 = 28, perimeter = 413.186, color = BLUE
3290: Triangle, x1 = 168, y1 = 68, x2 = 9, y2 = 111, x3 = 172, y3 = 11, perimeter = 413.082, color = LIGHT_BLUE
3291: Triangle, x1 = 95, y1 = 20, x2 = 114, y2 = 199, x3 = 156, y3 = 34, perimeter = 412.853, color = ORANGE
3292: Triangle, x1 = 17, y1 = 58, x2 = 32, y2 = 104, x3 = 191, y3 = 11, perimeter = 412.821, color = VIOLET
3293: Triangle, x1 = 43, y1 = 102, x2 = 41, y2 = 8, x3 = 163, y3 = 152, perimeter = 412.754, color = LIGHT_BLUE
3294: Triangle, x1 = 28, y1 = 199, x2 = 105, y2 = 191, x3 = 190, y3 = 84, perimeter = 412.735, color = RED
3295: Triangle, x1 = 99, y1 = 89, x2 = 12, y2 = 3, x3 = 194, y3 = 66, perimeter = 412.672, color = GREEN
3296: Triangle, x1 = 129, y1 = 129, x2 = 62, y2 = 20, x3 = 12, y3 = 172, perimeter = 412.609, color = VIOLET
3297: Triangle, x1 = 21, y1 = 82, x2 = 182, y2 = 99, x3 = 142, y3 = 183, perimeter = 412.546, color = VIOLET
3298: Triangle, x1 = 178, y1 = 188, x2 = 146, y2 = 75, x3 = 44, y3 = 199, perimeter = 412.456, color = RED
3299: Triangle, x1 = 171, y1 = 146, x2 = 34, y2 = 36, x3 = 124, y3 = 186, perimeter = 412.341, color = YELLOW
3300: Triangle, x1 = 72, y1 = 172, x2 = 171, y2 = 15, x3 = 182, y3 = 119, perimeter = 412.29, color = YELLOW
3301: Triangle, x1 = 96, y1 = 169, x2 = 45, y2 = 185, x3 = 102, y3 = 2, perimeter = 412.23, color = RED
3302: Triangle, x1 = 49, y1 = 140, x2 = 27, y2 = 4, x3 = 147, y3 = 133, perimeter = 412.202, color = BLUE
3303: Triangle, x1 = 114, y1 = 174, x2 = 129, y2 = 39, x3 = 6, y3 = 150, perimeter = 412.146, color = YELLOW
3304: Triangle, x1 = 24, y1 = 106, x2 = 9, y2 = 16, x3 = 119, y3 = 182, perimeter = 412.039, color = ORANGE
3305: Triangle, x1 = 37, y1 = 23, x2 = 164, y2 = 156, x3 = 93, y3 = 3, perimeter = 412.032, color = BLUE
3306: Rectangle, x_up_left = 18, y_up_left = 116, x_down_right = 200, y_down_right = 92, perimeter = 412, color = BLUE
3307: Rectangle, x_up_left = 22, y_up_left = 150, x_down_right = 200, y_down_right = 122, perimeter = 412, color = BLUE
3308: Rectangle, x_up_left = 82, y_up_left = 135, x_down_right = 183, y_down_right = 30, perimeter = 412, color = YELLOW
3309: Rectangle, x_up_left = 4, y_up_left = 174, x_down_right = 110, y_down_right = 74, perimeter = 412, color = LIGHT_BLUE
3310: Rectangle, x_up_left = 70, y_up_left = 124, x_down_right = 158, y_down_right = 6, perimeter = 412, color = VIOLET
3311: Rectangle, x_up_left = 146, y_up_left = 175, x_down_right = 195, y_down_right = 18, perimeter = 412, color = GREEN
3312: Rectangle, x_up_left = 13, y_up_left = 184, x_down_right = 154, y_down_right = 119, perimeter = 412, color = YELLOW
3313: Rectangle, x_up_left = 27, y_up_left = 192, x_down_right = 66, y_down_right = 25, perimeter = 412, color = RED
3314: Rectangle, x_up_left = 74, y_up_left = 158, x_down_right = 158, y_down_right = 36, perimeter = 412, color = ORANGE
3315: Rectangle, x_up_left = 42, y_up_left = 180, x_down_right = 118, y_down_right = 50, perimeter = 412, color = LIGHT_BLUE
3316: Rectangle, x_up_left = 122, y_up_left = 168, x_down_right = 200, y_down_right = 40, perimeter = 412, color = ORANGE
3317: Rectangle, x_up_left = 10, y_up_left = 54, x_down_right = 195, y_down_right = 33, perimeter = 412, color = BLUE
3318: Rectangle, x_up_left = 75, y_up_left = 172, x_down_right = 132, y_down_right = 23, perimeter = 412, color = ORANGE
3319: Triangle, x1 = 20, y1 = 88, x2 = 94, y2 = 98, x3 = 196, y3 = 187, perimeter = 411.976, color = ORANGE
3320: Triangle, x1 = 178, y1 = 22, x2 = 180, y2 = 112, x3 = 25, y3 = 54, perimeter = 411.829, color = RED
3321: Triangle, x1 = 83, y1 = 178, x2 = 102, y2 = 8, x3 = 170, y3 = 134, perimeter = 411.73, color = GREEN
3322: Triangle, x1 = 112, y1 = 53, x2 = 200, y2 = 75, x3 = 17, y3 = 138, perimeter = 411.725, color = VIOLET
3323: Triangle, x1 = 180, y1 = 138, x2 = 102, y2 = 67, x3 = 13, y3 = 19, perimeter = 411.655, color = GREEN
3324: Triangle, x1 = 20, y1 = 113, x2 = 146, y2 = 127, x3 = 18, y3 = 5, perimeter = 411.622, color = RED
3325: Triangle, x1 = 1, y1 = 178, x2 = 186, y2 = 151, x3 = 15, y3 = 128, perimeter = 411.423, color = VIOLET
3326: Triangle, x1 = 9, y1 = 193, x2 = 148, y2 = 140, x3 = 141, y3 = 63, perimeter = 411.346, color = BLUE
3327: Triangle, x1 = 8, y1 = 10, x2 = 70, y2 = 132, x3 = 120, y3 = 181, perimeter = 411.271, color = VIOLET
3328: Triangle, x1 = 16, y1 = 119, x2 = 52, y2 = 3, x3 = 98, y3 = 183, perimeter = 411.262, color = BLUE
3329: Triangle, x1 = 7, y1 = 173, x2 = 190, y2 = 144, x3 = 77, y3 = 97, perimeter = 410.993, color = ORANGE
3330: Triangle, x1 = 30, y1 = 115, x2 = 139, y2 = 193, x3 = 20, y3 = 36, perimeter = 410.667, color = VIOLET
3331: Triangle, x1 = 21, y1 = 2, x2 = 5, y2 = 41, x3 = 76, y3 = 194, perimeter = 410.548, color = BLUE
3332: Triangle, x1 = 69, y1 = 25, x2 = 183, y2 = 173, x3 = 170, y3 = 56, perimeter = 410.186, color = RED
3333: Triangle, x1 = 186, y1 = 6, x2 = 163, y2 = 27, x3 = 86, y3 = 184, perimeter = 410.177, color = VIOLET
3334: Triangle, x1 = 137, y1 = 191, x2 = 187, y2 = 88, x3 = 24, y3 = 162, perimeter = 410.168, color = RED
3335: Triangle, x1 = 152, y1 = 186, x2 = 67, y2 = 8, x3 = 68, y3 = 102, perimeter = 410.053, color = BLUE
3336: Rectangle, x_up_left = 24, y_up_left = 185, x_down_right = 88, y_down_right = 44, perimeter = 410, color = YELLOW
3337: Rectangle, x_up_left = 10, y_up_left = 110, x_down_right = 200, y_down_right = 95, perimeter = 410, color = RED
3338: Rectangle, x_up_left = 111, y_up_left = 187, x_down_right = 155, y_down_right = 26, perimeter = 410, color = GREEN
3339: Rectangle, x_up_left = 146, y_up_left = 198, x_down_right = 169, y_down_right = 16, perimeter = 410, color = BLUE
3340: Rectangle, x_up_left = 60, y_up_left = 194, x_down_right = 146, y_down_right = 75, perimeter = 410, color = GREEN
3341: Rectangle, x_up_left = 133, y_up_left = 165, x_down_right = 180, y_down_right = 7, perimeter = 410, color = YELLOW
3342: Rectangle, x_up_left = 35, y_up_left = 183, x_down_right = 192, y_down_right = 135, perimeter = 410, color = LIGHT_BLUE
3343: Rectangle, x_up_left = 65, y_up_left = 173, x_down_right = 161, y_down_right = 64, perimeter = 410, color = GREEN
3344: Triangle, x1 = 124, y1 = 133, x2 = 191, y2 = 151, x3 = 39, y3 = 21, perimeter = 409.988, color = RED
3345: Triangle, x1 = 143, y1 = 30, x2 = 92, y2 = 133, x3 = 4, y3 = 172, perimeter = 409.898, color = RED
3346: Triangle, x1 = 27, y1 = 90, x2 = 64, y2 = 121, x3 = 194, y3 = 5, perimeter = 409.887, color = GREEN
3347: Triangle, x1 = 189, y1 = 166, x2 = 2, y2 = 144, x3 = 31, y3 = 102, perimeter = 409.799, color = LIGHT_BLUE
3348: Triangle, x1 = 191, y1 = 38, x2 = 6, y2 = 104, x3 = 188, y3 = 24, perimeter = 409.545, color = YELLOW
3349: Triangle, x1 = 177, y1 = 72, x2 = 36, y2 = 136, x3 = 92, y3 = 3, perimeter = 408.634, color = VIOLET
3350: Triangle, x1 = 85, y1 = 42, x2 = 174, y2 = 167, x3 = 69, y3 = 189, perimeter = 408.595, color = YELLOW
3351: Triangle, x1 = 162, y1 = 1, x2 = 118, y2 = 99, x3 = 161, y3 = 196, perimeter = 408.531, color = ORANGE
3352: Triangle, x1 = 56, y1 = 180, x2 = 134, y2 = 48, x3 = 156, y3 = 2, perimeter = 408.48, color = LIGHT_BLUE
3353: Triangle, x1 = 174, y1 = 16, x2 = 81, y2 = 150, x3 = 26, y3 = 96, perimeter = 408.426, color = RED
3354: Triangle, x1 = 199, y1 = 77, x2 = 145, y2 = 49, x3 = 1, y3 = 34, perimeter = 408.222, color = YELLOW
3355: Triangle, x1 = 107, y1 = 4, x2 = 192, y2 = 188, x3 = 174, y3 = 174, perimeter = 408.215, color = BLUE
3356: Circle, x = 78, y = 93, radius = 65, perimeter = 408.2, color = LIGHT_BLUE
3357: Circle, x = 109, y = 138, radius = 65, perimeter = 408.2, color = GREEN
3358: Circle, x = 106, y = 167, radius = 65, perimeter = 408.2, color = LIGHT_BLUE
3359: Circle, x = 157, y = 74, radius = 65, perimeter = 408.2, color = VIOLET
3360: Circle, x = 51, y = 113, radius = 65, perimeter = 408.2, color = GREEN
3361: Circle, x = 133, y = 55, radius = 65, perimeter = 408.2, color = RED
3362: Circle, x = 15, y = 149, radius = 65, perimeter = 408.2, color = GREEN
3363: Circle, x = 21, y = 71, radius = 65, perimeter = 408.2, color = ORANGE
3364: Circle, x = 96, y = 4, radius = 65, perimeter = 408.2, color = GREEN
3365: Circle, x = 62, y = 104, radius = 65, perimeter = 408.2, color = RED
3366: Circle, x = 83, y = 155, radius = 65, perimeter = 408.2, color = GREEN
3367: Circle, x = 164, y = 44, radius = 65, perimeter = 408.2, color = RED
3368: Circle, x = 42, y = 61, radius = 65, perimeter = 408.2, color = LIGHT_BLUE
3369: Circle, x = 159, y = 22, radius = 65, perimeter = 408.2, color = YELLOW
3370: Circle, x = 200, y = 162, radius = 65, perimeter = 408.2, color = YELLOW
3371: Circle, x = 127, y = 34, radius = 65, perimeter = 408.2, color = RED
3372: Circle, x = 148, y = 17, radius = 65, perimeter = 408.2, color = BLUE
3373: Circle, x = 10, y = 84, radius = 65, perimeter = 408.2, color = GREEN
3374: Circle, x = 41, y = 100, radius = 65, perimeter = 408.2, color = YELLOW
3375: Triangle, x1 = 75, y1 = 21, x2 = 130, y2 = 165, x3 = 15, y3 = 10, perimeter = 408.149, color = BLUE
3376: Triangle, x1 = 26, y1 = 30, x2 = 149, y2 = 18, x3 = 194, y3 = 107, perimeter = 408.119, color = YELLOW
3377: Rectangle, x_up_left = 8, y_up_left = 163, x_down_right = 56, y_down_right = 7, perimeter = 408, color = LIGHT_BLUE
3378: Rectangle, x_up_left = 93, y_up_left = 170, x_down_right = 150, y_down_right = 23, perimeter = 408, color = YELLOW
3379: Rectangle, x_up_left = 112, y_up_left = 167, x_down_right = 181, y_down_right = 32, perimeter = 408, color = LIGHT_BLUE
3380: Rectangle, x_up_left = 65, y_up_left = 121, x_down_right = 177, y_down_right = 29, perimeter = 408, color = RED
3381: Rectangle, x_up_left = 63, y_up_left = 172, x_down_right = 166, y_down_right = 71, perimeter = 408, color = BLUE
3382: Rectangle, x_up_left = 35, y_up_left = 195, x_down_right = 152, y_down_right = 108, perimeter = 408, color = GREEN
3383: Rectangle, x_up_left = 17, y_up_left = 142, x_down_right = 181, y_down_right = 102, perimeter = 408, color = GREEN
3384: Rectangle, x_up_left = 8, y_up_left = 158, x_down_right = 144, y_down_right = 90, perimeter = 408, color = VIOLET
3385: Rectangle, x_up_left = 55, y_up_left = 151, x_down_right = 146, y_down_right = 38, perimeter = 408, color = ORANGE
3386: Triangle, x1 = 200, y1 = 57, x2 = 40, y2 = 170, x3 = 186, y3 = 109, perimeter = 407.963, color = YELLOW
3387: Triangle, x1 = 184, y1 = 57, x2 = 177, y2 = 50, x3 = 33, y3 = 187, perimeter = 407.909, color = GREEN
3388: Triangle, x1 = 157, y1 = 95, x2 = 31, y2 = 20, x3 = 16, y3 = 134, perimeter = 407.909, color = LIGHT_BLUE
3389: Triangle, x1 = 31, y1 = 130, x2 = 115, y2 = 143, x3 = 170, y3 = 13, perimeter = 407.842, color = RED
3390: Triangle, x1 = 171, y1 = 105, x2 = 74, y2 = 183, x3 = 141, y3 = 11, perimeter = 407.731, color = BLUE
3391: Triangle, x1 = 198, y1 = 26, x2 = 113, y2 = 193, x3 = 103, y3 = 85, perimeter = 407.68, color = ORANGE
3392: Triangle, x1 = 191, y1 = 49, x2 = 64, y2 = 169, x3 = 79, y3 = 49, perimeter = 407.659, color = YELLOW
3393: Triangle, x1 = 198, y1 = 15, x2 = 81, y2 = 4, x3 = 18, y3 = 80, perimeter = 407.609, color = ORANGE
3394: Triangle, x1 = 152, y1 = 190, x2 = 128, y2 = 27, x3 = 71, y3 = 23, perimeter = 407.505, color = GREEN
3395: Triangle, x1 = 55, y1 = 31, x2 = 115, y2 = 179, x3 = 165, y3 = 53, perimeter = 407.436, color = GREEN
3396: Triangle, x1 = 152, y1 = 189, x2 = 55, y2 = 39, x3 = 175, y3 = 96, perimeter = 407.282, color = LIGHT_BLUE
3397: Triangle, x1 = 145, y1 = 179, x2 = 4, y2 = 49, x3 = 40, y3 = 149, perimeter = 407.268, color = YELLOW
3398: Triangle, x1 = 166, y1 = 11, x2 = 157, y2 = 116, x3 = 21, y3 = 83, perimeter = 407.223, color = RED
3399: Triangle, x1 = 174, y1 = 162, x2 = 37, y2 = 46, x3 = 16, y3 = 100, perimeter = 407.182, color = VIOLET
3400: Triangle, x1 = 197, y1 = 113, x2 = 197, y2 = 44, x3 = 40, y3 = 132, perimeter = 407.126, color = GREEN
3401: Triangle, x1 = 110, y1 = 27, x2 = 158, y2 = 199, x3 = 167, y3 = 28, perimeter = 406.818, color = RED
3402: Triangle, x1 = 66, y1 = 84, x2 = 188, y2 = 183, x3 = 56, y3 = 200, perimeter = 406.635, color = VIOLET
3403: Triangle, x1 = 76, y1 = 110, x2 = 183, y2 = 5, x3 = 154, y3 = 164, perimeter = 406.405, color = LIGHT_BLUE
3404: Triangle, x1 = 4, y1 = 17, x2 = 152, y2 = 94, x3 = 186, y3 = 107, perimeter = 406.27, color = YELLOW
3405: Triangle, x1 = 51, y1 = 143, x2 = 194, y2 = 45, x3 = 80, y3 = 29, perimeter = 406.106, color = RED
3406: Triangle, x1 = 174, y1 = 172, x2 = 69, y2 = 83, x3 = 104, y3 = 4, perimeter = 406.05, color = VIOLET
3407: Triangle, x1 = 94, y1 = 179, x2 = 45, y2 = 22, x3 = 122, y3 = 17, perimeter = 406.033, color = ORANGE
3408: Rectangle, x_up_left = 11, y_up_left = 196, x_down_right = 73, y_down_right = 55, perimeter = 406, color = RED
3409: Rectangle, x_up_left = 4, y_up_left = 134, x_down_right = 119, y_down_right = 46, perimeter = 406, color = YELLOW
3410: Rectangle, x_up_left = 44, y_up_left = 163, x_down_right = 177, y_down_right = 93, perimeter = 406, color = RED
3411: Rectangle, x_up_left = 78, y_up_left = 157, x_down_right = 162, y_down_right = 38, perimeter = 406, color = RED
3412: Rectangle, x_up_left = 28, y_up_left = 137, x_down_right = 196, y_down_right = 102, perimeter = 406, color = LIGHT_BLUE
3413: Rectangle, x_up_left = 48, y_up_left = 196, x_down_right = 133, y_down_right = 78, perimeter = 406, color = RED
3414: Rectangle, x_up_left = 34, y_up_left = 182, x_down_right = 145, y_down_right = 90, perimeter = 406, color = YELLOW
3415: Rectangle, x_up_left = 25, y_up_left = 181, x_down_right = 88, y_down_right = 41, perimeter = 406, color = LIGHT_BLUE
3416: Rectangle, x_up_left = 29, y_up_left = 167, x_down_right = 110, y_down_right = 45, perimeter = 406, color = GREEN
3417: Triangle, x1 = 164, y1 = 180, x2 = 33, y2 = 58, x3 = 65, y3 = 27, perimeter = 405.801, color = RED
3418: Triangle, x1 = 72, y1 = 73, x2 = 185, y2 = 22, x3 = 158, y3 = 171, perimeter = 405.786, color = BLUE
3419: Triangle, x1 = 116, y1 = 79, x2 = 43, y2 = 177, x3 = 158, y3 = 10, perimeter = 405.744, color = YELLOW
3420: Triangle, x1 = 44, y1 = 152, x2 = 155, y2 = 3, x3 = 114, y3 = 147, perimeter = 405.702, color = ORANGE
3421: Triangle, x1 = 88, y1 = 34, x2 = 179, y2 = 153, x3 = 50, y3 = 155, perimeter = 405.649, color = GREEN
3422: Triangle, x1 = 198, y1 = 61, x2 = 124, y2 = 23, x3 = 80, y3 = 175, perimeter = 405.5, color = GREEN
3423: Triangle, x1 = 106, y1 = 3, x2 = 17, y2 = 148, x3 = 51, y3 = 182, perimeter = 405.478, color = VIOLET
3424: Triangle, x1 = 41, y1 = 156, x2 = 97, y2 = 3, x3 = 159, y3 = 24, perimeter = 405.44, color = BLUE
3425: Triangle, x1 = 183, y1 = 72, x2 = 34, y2 = 146, x3 = 140, y3 = 189, perimeter = 405.405, color = VIOLET
3426: Triangle, x1 = 168, y1 = 188, x2 = 129, y2 = 15, x3 = 75, y3 = 63, perimeter = 405.392, color = LIGHT_BLUE
3427: Triangle, x1 = 67, y1 = 23, x2 = 9, y2 = 168, x3 = 106, y3 = 170, perimeter = 405.276, color = LIGHT_BLUE
3428: Triangle, x1 = 29, y1 = 41, x2 = 143, y2 = 79, x3 = 162, y3 = 174, perimeter = 405.138, color = ORANGE
3429: Triangle, x1 = 43, y1 = 164, x2 = 163, y2 = 131, x3 = 20, y3 = 50, perimeter = 405.099, color = ORANGE
3430: Triangle, x1 = 181, y1 = 120, x2 = 153, y2 = 53, x3 = 15, y3 = 143, perimeter = 404.956, color = LIGHT_BLUE
3431: Triangle, x1 = 90, y1 = 184, x2 = 121, y2 = 3, x3 = 68, y3 = 193, perimeter = 404.659, color = YELLOW
3432: Triangle, x1 = 9, y1 = 107, x2 = 87, y2 = 144, x3 = 143, y3 = 5, perimeter = 404.592, color = LIGHT_BLUE
3433: Triangle, x1 = 186, y1 = 20, x2 = 32, y2 = 28, x3 = 135, y3 = 120, perimeter = 404.567, color = RED
3434: Triangle, x1 = 8, y1 = 189, x2 = 112, y2 = 172, x3 = 157, y3 = 72, perimeter = 404.485, color = RED
3435: Triangle, x1 = 95, y1 = 162, x2 = 3, y2 = 1, x3 = 70, y3 = 178, perimeter = 404.37, color = GREEN
3436: Triangle, x1 = 59, y1 = 133, x2 = 83, y2 = 36, x3 = 172, y3 = 190, perimeter = 404.355, color = RED
3437: Triangle, x1 = 86, y1 = 195, x2 = 171, y2 = 199, x3 = 35, y3 = 72, perimeter = 404.326, color = LIGHT_BLUE
3438: Triangle, x1 = 154, y1 = 193, x2 = 43, y2 = 131, x3 = 198, y3 = 86, perimeter = 404.235, color = ORANGE
3439: Triangle, x1 = 47, y1 = 21, x2 = 19, y2 = 191, x3 = 92, y3 = 19, perimeter = 404.185, color = RED
3440: Triangle, x1 = 156, y1 = 140, x2 = 45, y2 = 36, x3 = 181, y3 = 27, perimeter = 404.138, color = LIGHT_BLUE
3441: Rectangle, x_up_left = 4, y_up_left = 56, x_down_right = 165, y_down_right = 15, perimeter = 404, color = ORANGE
3442: Rectangle, x_up_left = 75, y_up_left = 161, x_down_right = 192, y_down_right = 76, perimeter = 404, color = VIOLET
3443: Rectangle, x_up_left = 94, y_up_left = 152, x_down_right = 200, y_down_right = 56, perimeter = 404, color = LIGHT_BLUE
3444: Rectangle, x_up_left = 3, y_up_left = 191, x_down_right = 89, y_down_right = 75, perimeter = 404, color = GREEN
3445: Rectangle, x_up_left = 94, y_up_left = 193, x_down_right = 130, y_down_right = 27, perimeter = 404, color = GREEN
3446: Rectangle, x_up_left = 61, y_up_left = 119, x_down_right = 178, y_down_right = 34, perimeter = 404, color = LIGHT_BLUE
3447: Rectangle, x_up_left = 55, y_up_left = 164, x_down_right = 134, y_down_right = 41, perimeter = 404, color = YELLOW
3448: Rectangle, x_up_left = 29, y_up_left = 181, x_down_right = 124, y_down_right = 74, perimeter = 404, color = YELLOW
3449: Rectangle, x_up_left = 39, y_up_left = 102, x_down_right = 191, y_down_right = 52, perimeter = 404, color = GREEN
3450: Rectangle, x_up_left = 42, y_up_left = 187, x_down_right = 135, y_down_right = 78, perimeter = 404, color = RED
3451: Rectangle, x_up_left = 35, y_up_left = 185, x_down_right = 182, y_down_right = 130, perimeter = 404, color = LIGHT_BLUE
3452: Rectangle, x_up_left = 25, y_up_left = 182, x_down_right = 64, y_down_right = 19, perimeter = 404, color = LIGHT_BLUE
3453: Rectangle, x_up_left = 4, y_up_left = 94, x_down_right = 198, y_down_right = 86, perimeter = 404, color = GREEN
3454: Rectangle, x_up_left = 37, y_up_left = 112, x_down_right = 198, y_down_right = 71, perimeter = 404, color = VIOLET
