Total number of shapes is 1000 
Shapes are:
0: Circle, x = 105, y = 198, radius = 200, perimeter = 1256, color = GREEN
297: Triangle, x1 = 31, y1 = 2, x2 = 148, y2 = 145, x3 = 102, y3 = 178, perimeter = 431.159, color = GREEN
298: Rectangle, x_up_left = 99, y_up_left = 172, x_down_right = 160, y_down_right = 18, perimeter = 430, color = ORANGE
299: Rectangle, x_up_left = 49, y_up_left = 200, x_down_right = 86, y_down_right = 23, perimeter = 428, color = VIOLET
300: Rectangle, x_up_left = 28, y_up_left = 165, x_down_right = 188, y_down_right = 111, perimeter = 428, color = RED
301: Circle, x = 184, y = 28, radius = 68, perimeter = 427.04, color = GREEN
302: Triangle, x1 = 21, y1 = 11, x2 = 113, y2 = 196, x3 = 102, y3 = 91, perimeter = 426.034, color = ORANGE
303: Rectangle, x_up_left = 84, y_up_left = 109, x_down_right = 191, y_down_right = 3, perimeter = 426, color = BLUE
304: Triangle, x1 = 4, y1 = 6, x2 = 108, y2 = 22, x3 = 94, y3 = 161, perimeter = 424.161, color = RED
305: Triangle, x1 = 116, y1 = 177, x2 = 21, y2 = 124, x3 = 107, y3 = 8, perimeter = 422.426, color = BLUE
306: Triangle, x1 = 108, y1 = 15, x2 = 147, y2 = 184, x3 = 46, y3 = 29, perimeter = 422.005, color = GREEN
307: Rectangle, x_up_left = 72, y_up_left = 174, x_down_right = 150, y_down_right = 41, perimeter = 422, color = ORANGE
308: Triangle, x1 = 159, y1 = 180, x2 = 198, y2 = 139, x3 = 72, y3 = 14, perimeter = 421.488, color = GREEN
309: Triangle, x1 = 192, y1 = 68, x2 = 91, y2 = 27, x3 = 94, y3 = 186, perimeter = 421.421, color = BLUE
310: Circle, x = 168, y = 150, radius = 67, perimeter = 420.76, color = ORANGE
311: Rectangle, x_up_left = 11, y_up_left = 161, x_down_right = 76, y_down_right = 16, perimeter = 420, color = ORANGE
312: Triangle, x1 = 133, y1 = 123, x2 = 111, y2 = 7, x3 = 14, y3 = 156, perimeter = 419.351, color = ORANGE
313: Triangle, x1 = 54, y1 = 93, x2 = 152, y2 = 192, x3 = 157, y3 = 32, perimeter = 419.088, color = VIOLET
314: Triangle, x1 = 70, y1 = 198, x2 = 111, y2 = 74, x3 = 167, y3 = 15, perimeter = 419.066, color = YELLOW
315: Triangle, x1 = 200, y1 = 81, x2 = 66, y2 = 25, x3 = 13, y3 = 91, perimeter = 417.144, color = RED
316: Triangle, x1 = 107, y1 = 132, x2 = 38, y2 = 170, x3 = 174, y3 = 17, perimeter = 416.573, color = GREEN
317: Triangle, x1 = 133, y1 = 170, x2 = 193, y2 = 183, x3 = 101, y3 = 13, perimeter = 414.918, color = ORANGE
318: Triangle, x1 = 110, y1 = 173, x2 = 152, y2 = 3, x3 = 145, y3 = 199, perimeter = 414.837, color = LIGHT_BLUE
319: Triangle, x1 = 16, y1 = 166, x2 = 124, y2 = 11, x3 = 23, y3 = 48, perimeter = 414.687, color = LIGHT_BLUE
320: Circle, x = 6, y = 144, radius = 66, perimeter = 414.48, color = ORANGE
321: Circle, x = 74, y = 113, radius = 66, perimeter = 414.48, color = RED
322: Triangle, x1 = 93, y1 = 147, x2 = 164, y2 = 198, x3 = 126, y3 = 14, perimeter = 412.334, color = GREEN
323: Triangle, x1 = 38, y1 = 11, x2 = 108, y2 = 142, x3 = 167, y3 = 22, perimeter = 411.717, color = LIGHT_BLUE
324: Rectangle, x_up_left = 12, y_up_left = 168, x_down_right = 50, y_down_right = 1, perimeter = 410, color = BLUE
325: Rectangle, x_up_left = 41, y_up_left = 191, x_down_right = 189, y_down_right = 134, perimeter = 410, color = BLUE
326: Rectangle, x_up_left = 30, y_up_left = 58, x_down_right = 186, y_down_right = 9, perimeter = 410, color = LIGHT_BLUE
327: Circle, x = 49, y = 153, radius = 65, perimeter = 408.2, color = BLUE
328: Circle, x = 192, y = 51, radius = 65, perimeter = 408.2, color = LIGHT_BLUE
329: Rectangle, x_up_left = 68, y_up_left = 189, x_down_right = 121, y_down_right = 38, perimeter = 408, color = LIGHT_BLUE
330: Triangle, x1 = 160, y1 = 190, x2 = 88, y2 = 167, x3 = 6, y3 = 63, perimeter = 407.635, color = BLUE
331: Triangle, x1 = 30, y1 = 160, x2 = 180, y2 = 24, x3 = 176, y3 = 38, perimeter = 407.298, color = VIOLET
332: Triangle, x1 = 27, y1 = 64, x2 = 33, y2 = 164, x3 = 162, y3 = 51, perimeter = 407.298, color = RED
333: Triangle, x1 = 200, y1 = 155, x2 = 26, y2 = 81, x3 = 129, y3 = 66, perimeter = 407.019, color = ORANGE
334: Rectangle, x_up_left = 76, y_up_left = 145, x_down_right = 195, y_down_right = 61, perimeter = 406, color = BLUE
335: Triangle, x1 = 124, y1 = 140, x2 = 157, y2 = 14, x3 = 23, y3 = 46, perimeter = 405.992, color = YELLOW
336: Triangle, x1 = 21, y1 = 191, x2 = 80, y2 = 128, x3 = 183, y3 = 71, perimeter = 405.637, color = BLUE
337: Triangle, x1 = 17, y1 = 13, x2 = 159, y2 = 9, x3 = 194, y3 = 76, perimeter = 405.525, color = LIGHT_BLUE
338: Triangle, x1 = 175, y1 = 101, x2 = 106, y2 = 180, x3 = 193, y3 = 1, perimeter = 405.52, color = GREEN
339: Triangle, x1 = 90, y1 = 143, x2 = 20, y2 = 23, x3 = 2, y3 = 189, perimeter = 405.195, color = YELLOW
340: Triangle, x1 = 173, y1 = 53, x2 = 89, y2 = 83, x3 = 6, y3 = 163, perimeter = 404.447, color = ORANGE
341: Triangle, x1 = 158, y1 = 47, x2 = 93, y2 = 167, x3 = 21, y3 = 183, perimeter = 403.271, color = RED
342: Triangle, x1 = 81, y1 = 126, x2 = 25, y2 = 198, x3 = 173, y3 = 63, perimeter = 403.04, color = YELLOW
343: Triangle, x1 = 5, y1 = 72, x2 = 157, y2 = 198, x3 = 24, y3 = 117, perimeter = 402.004, color = BLUE
344: Rectangle, x_up_left = 20, y_up_left = 112, x_down_right = 193, y_down_right = 84, perimeter = 402, color = BLUE
345: Triangle, x1 = 169, y1 = 172, x2 = 54, y2 = 93, x3 = 26, y3 = 35, perimeter = 401.961, color = YELLOW
346: Circle, x = 32, y = 170, radius = 64, perimeter = 401.92, color = BLUE
347: Triangle, x1 = 191, y1 = 153, x2 = 111, y2 = 11, x3 = 59, y3 = 84, perimeter = 401.558, color = YELLOW
348: Triangle, x1 = 197, y1 = 103, x2 = 3, y2 = 151, x3 = 36, y3 = 133, perimeter = 401.211, color = ORANGE
349: Triangle, x1 = 29, y1 = 79, x2 = 114, y2 = 22, x3 = 90, y3 = 191, perimeter = 400.573, color = YELLOW
350: Rectangle, x_up_left = 47, y_up_left = 195, x_down_right = 192, y_down_right = 140, perimeter = 400, color = VIOLET
351: Triangle, x1 = 31, y1 = 77, x2 = 126, y2 = 193, x3 = 130, y3 = 47, perimeter = 399.437, color = GREEN
352: Triangle, x1 = 6, y1 = 91, x2 = 193, y2 = 62, x3 = 5, y3 = 107, perimeter = 398.577, color = RED
353: Rectangle, x_up_left = 14, y_up_left = 102, x_down_right = 170, y_down_right = 59, perimeter = 398, color = ORANGE
354: Triangle, x1 = 35, y1 = 171, x2 = 180, y2 = 62, x3 = 16, y3 = 145, perimeter = 397.41, color = LIGHT_BLUE
355: Triangle, x1 = 26, y1 = 157, x2 = 145, y2 = 194, x3 = 13, y3 = 68, perimeter = 397.047, color = ORANGE
356: Triangle, x1 = 8, y1 = 77, x2 = 153, y2 = 133, x3 = 169, y3 = 56, perimeter = 396.447, color = RED
357: Triangle, x1 = 142, y1 = 25, x2 = 108, y2 = 10, x3 = 39, y3 = 174, perimeter = 396.221, color = YELLOW
358: Triangle, x1 = 24, y1 = 142, x2 = 42, y2 = 177, x3 = 124, y3 = 7, perimeter = 396.104, color = ORANGE
359: Circle, x = 86, y = 59, radius = 63, perimeter = 395.64, color = RED
360: Circle, x = 170, y = 194, radius = 63, perimeter = 395.64, color = RED
361: Circle, x = 173, y = 15, radius = 63, perimeter = 395.64, color = YELLOW
362: Circle, x = 150, y = 107, radius = 63, perimeter = 395.64, color = RED
363: Triangle, x1 = 179, y1 = 128, x2 = 170, y2 = 139, x3 = 16, y3 = 29, perimeter = 394.173, color = YELLOW
364: Rectangle, x_up_left = 67, y_up_left = 132, x_down_right = 177, y_down_right = 45, perimeter = 394, color = RED
365: Triangle, x1 = 30, y1 = 116, x2 = 2, y2 = 80, x3 = 166, y3 = 186, perimeter = 393.839, color = BLUE
366: Triangle, x1 = 99, y1 = 74, x2 = 104, y2 = 196, x3 = 125, y3 = 2, perimeter = 393.786, color = RED
367: Rectangle, x_up_left = 60, y_up_left = 177, x_down_right = 83, y_down_right = 4, perimeter = 392, color = GREEN
368: Triangle, x1 = 89, y1 = 109, x2 = 183, y2 = 28, x3 = 15, y3 = 46, perimeter = 390.232, color = LIGHT_BLUE
369: Triangle, x1 = 121, y1 = 17, x2 = 134, y2 = 165, x3 = 188, y3 = 1, perimeter = 390.115, color = RED
370: Triangle, x1 = 183, y1 = 107, x2 = 143, y2 = 9, x3 = 183, y3 = 198, perimeter = 390.035, color = GREEN
371: Rectangle, x_up_left = 148, y_up_left = 190, x_down_right = 199, y_down_right = 46, perimeter = 390, color = YELLOW
372: Triangle, x1 = 193, y1 = 118, x2 = 62, y2 = 168, x3 = 17, y3 = 111, perimeter = 388.979, color = LIGHT_BLUE
373: Triangle, x1 = 128, y1 = 14, x2 = 166, y2 = 191, x3 = 103, y3 = 134, perimeter = 388.568, color = BLUE
374: Rectangle, x_up_left = 104, y_up_left = 200, x_down_right = 186, y_down_right = 88, perimeter = 388, color = YELLOW
375: Rectangle, x_up_left = 52, y_up_left = 200, x_down_right = 55, y_down_right = 9, perimeter = 388, color = VIOLET
376: Rectangle, x_up_left = 43, y_up_left = 80, x_down_right = 197, y_down_right = 40, perimeter = 388, color = YELLOW
377: Rectangle, x_up_left = 42, y_up_left = 95, x_down_right = 162, y_down_right = 21, perimeter = 388, color = LIGHT_BLUE
378: Triangle, x1 = 164, y1 = 182, x2 = 51, y2 = 127, x3 = 63, y3 = 40, perimeter = 387.753, color = ORANGE
379: Triangle, x1 = 53, y1 = 156, x2 = 199, y2 = 39, x3 = 149, y3 = 41, perimeter = 386.939, color = YELLOW
380: Triangle, x1 = 165, y1 = 140, x2 = 170, y2 = 192, x3 = 128, y3 = 4, perimeter = 385.817, color = BLUE
381: Triangle, x1 = 40, y1 = 89, x2 = 171, y2 = 64, x3 = 49, y3 = 175, perimeter = 384.773, color = RED
382: Rectangle, x_up_left = 142, y_up_left = 182, x_down_right = 197, y_down_right = 45, perimeter = 384, color = BLUE
383: Triangle, x1 = 7, y1 = 149, x2 = 113, y2 = 190, x3 = 41, y3 = 46, perimeter = 383.116, color = GREEN
384: Circle, x = 124, y = 7, radius = 61, perimeter = 383.08, color = RED
385: Triangle, x1 = 178, y1 = 13, x2 = 7, y2 = 38, x3 = 152, y3 = 69, perimeter = 382.836, color = RED
386: Triangle, x1 = 28, y1 = 55, x2 = 143, y2 = 15, x3 = 198, y3 = 84, perimeter = 382.452, color = GREEN
387: Triangle, x1 = 74, y1 = 142, x2 = 134, y2 = 147, x3 = 7, y3 = 18, perimeter = 382.176, color = LIGHT_BLUE
388: Rectangle, x_up_left = 30, y_up_left = 134, x_down_right = 119, y_down_right = 32, perimeter = 382, color = LIGHT_BLUE
389: Rectangle, x_up_left = 64, y_up_left = 141, x_down_right = 156, y_down_right = 42, perimeter = 382, color = YELLOW
390: Rectangle, x_up_left = 21, y_up_left = 184, x_down_right = 70, y_down_right = 42, perimeter = 382, color = ORANGE
391: Triangle, x1 = 9, y1 = 193, x2 = 97, y2 = 179, x3 = 194, y3 = 149, perimeter = 380.8, color = VIOLET
392: Triangle, x1 = 82, y1 = 66, x2 = 193, y2 = 190, x3 = 53, y3 = 110, perimeter = 380.367, color = ORANGE
393: Triangle, x1 = 135, y1 = 157, x2 = 137, y2 = 58, x3 = 5, y3 = 94, perimeter = 380.302, color = YELLOW
394: Triangle, x1 = 123, y1 = 56, x2 = 76, y2 = 14, x3 = 197, y3 = 160, perimeter = 380.295, color = VIOLET
395: Rectangle, x_up_left = 7, y_up_left = 197, x_down_right = 105, y_down_right = 105, perimeter = 380, color = BLUE
396: Triangle, x1 = 132, y1 = 156, x2 = 38, y2 = 62, x3 = 11, y3 = 11, perimeter = 379.497, color = BLUE
397: Triangle, x1 = 11, y1 = 30, x2 = 93, y2 = 80, x3 = 79, y3 = 189, perimeter = 378.868, color = GREEN
398: Triangle, x1 = 154, y1 = 105, x2 = 1, y2 = 51, x3 = 114, y3 = 154, perimeter = 378.402, color = LIGHT_BLUE
399: Triangle, x1 = 76, y1 = 1, x2 = 9, y2 = 23, x3 = 44, y3 = 162, perimeter = 378.008, color = GREEN
400: Rectangle, x_up_left = 122, y_up_left = 188, x_down_right = 181, y_down_right = 58, perimeter = 378, color = BLUE
401: Rectangle, x_up_left = 18, y_up_left = 182, x_down_right = 127, y_down_right = 102, perimeter = 378, color = GREEN
402: Triangle, x1 = 176, y1 = 122, x2 = 137, y2 = 17, x3 = 67, y3 = 152, perimeter = 377.131, color = YELLOW
403: Circle, x = 44, y = 28, radius = 60, perimeter = 376.8, color = BLUE
404: Rectangle, x_up_left = 13, y_up_left = 151, x_down_right = 174, y_down_right = 124, perimeter = 376, color = YELLOW
405: Rectangle, x_up_left = 44, y_up_left = 121, x_down_right = 190, y_down_right = 79, perimeter = 376, color = VIOLET
406: Triangle, x1 = 165, y1 = 99, x2 = 62, y2 = 73, x3 = 1, y3 = 15, perimeter = 374.664, color = VIOLET
407: Rectangle, x_up_left = 16, y_up_left = 126, x_down_right = 152, y_down_right = 75, perimeter = 374, color = ORANGE
408: Triangle, x1 = 189, y1 = 129, x2 = 8, y2 = 174, x3 = 18, y3 = 173, perimeter = 373.13, color = BLUE
409: Triangle, x1 = 131, y1 = 115, x2 = 200, y2 = 80, x3 = 23, y3 = 134, perimeter = 372.082, color = RED
410: Circle, x = 116, y = 24, radius = 59, perimeter = 370.52, color = LIGHT_BLUE
411: Triangle, x1 = 100, y1 = 196, x2 = 88, y2 = 27, x3 = 42, y3 = 94, perimeter = 368.034, color = LIGHT_BLUE
412: Triangle, x1 = 54, y1 = 196, x2 = 146, y2 = 74, x3 = 90, y3 = 48, perimeter = 366.857, color = GREEN
413: Triangle, x1 = 121, y1 = 2, x2 = 190, y2 = 168, x3 = 164, y3 = 153, perimeter = 366.789, color = RED
414: Triangle, x1 = 172, y1 = 147, x2 = 59, y2 = 199, x3 = 150, y3 = 68, perimeter = 365.902, color = YELLOW
415: Triangle, x1 = 77, y1 = 75, x2 = 53, y2 = 155, x3 = 160, y3 = 13, perimeter = 364.923, color = BLUE
416: Triangle, x1 = 148, y1 = 162, x2 = 3, y2 = 52, x3 = 33, y3 = 83, perimeter = 364.663, color = RED
417: Triangle, x1 = 31, y1 = 45, x2 = 139, y2 = 127, x3 = 30, y3 = 160, perimeter = 364.493, color = BLUE
418: Circle, x = 99, y = 36, radius = 58, perimeter = 364.24, color = ORANGE
419: Circle, x = 10, y = 91, radius = 58, perimeter = 364.24, color = ORANGE
420: Circle, x = 197, y = 189, radius = 58, perimeter = 364.24, color = YELLOW
421: Triangle, x1 = 3, y1 = 91, x2 = 157, y2 = 181, x3 = 57, y3 = 96, perimeter = 363.845, color = YELLOW
422: Triangle, x1 = 124, y1 = 78, x2 = 66, y2 = 170, x3 = 196, y3 = 50, perimeter = 362.928, color = BLUE
423: Triangle, x1 = 146, y1 = 95, x2 = 31, y2 = 39, x3 = 179, y3 = 140, perimeter = 362.892, color = RED
424: Triangle, x1 = 152, y1 = 109, x2 = 142, y2 = 187, x3 = 17, y3 = 106, perimeter = 362.621, color = LIGHT_BLUE
425: Triangle, x1 = 27, y1 = 192, x2 = 125, y2 = 48, x3 = 116, y3 = 123, perimeter = 362.336, color = ORANGE
426: Rectangle, x_up_left = 64, y_up_left = 117, x_down_right = 168, y_down_right = 40, perimeter = 362, color = BLUE
427: Rectangle, x_up_left = 139, y_up_left = 159, x_down_right = 176, y_down_right = 15, perimeter = 362, color = LIGHT_BLUE
428: Triangle, x1 = 116, y1 = 57, x2 = 4, y2 = 2, x3 = 101, y3 = 131, perimeter = 361.681, color = GREEN
429: Triangle, x1 = 154, y1 = 4, x2 = 171, y2 = 81, x3 = 109, y3 = 171, perimeter = 361.1, color = VIOLET
430: Triangle, x1 = 53, y1 = 114, x2 = 180, y2 = 56, x3 = 137, y3 = 169, perimeter = 360.926, color = RED
431: Triangle, x1 = 173, y1 = 177, x2 = 105, y2 = 147, x3 = 165, y3 = 26, perimeter = 360.595, color = ORANGE
432: Triangle, x1 = 70, y1 = 117, x2 = 170, y2 = 179, x3 = 16, y3 = 187, perimeter = 360.276, color = BLUE
433: Rectangle, x_up_left = 19, y_up_left = 89, x_down_right = 186, y_down_right = 76, perimeter = 360, color = GREEN
434: Triangle, x1 = 8, y1 = 180, x2 = 104, y2 = 31, x3 = 68, y3 = 54, perimeter = 359.525, color = BLUE
435: Circle, x = 65, y = 184, radius = 57, perimeter = 357.96, color = GREEN
436: Triangle, x1 = 58, y1 = 173, x2 = 98, y2 = 120, x3 = 127, y3 = 10, perimeter = 357.162, color = BLUE
437: Rectangle, x_up_left = 120, y_up_left = 132, x_down_right = 184, y_down_right = 18, perimeter = 356, color = YELLOW
438: Rectangle, x_up_left = 86, y_up_left = 178, x_down_right = 180, y_down_right = 94, perimeter = 356, color = ORANGE
439: Triangle, x1 = 161, y1 = 105, x2 = 26, y2 = 9, x3 = 124, y3 = 22, perimeter = 355.385, color = ORANGE
440: Triangle, x1 = 111, y1 = 15, x2 = 167, y2 = 82, x3 = 196, y3 = 169, perimeter = 354.928, color = VIOLET
441: Rectangle, x_up_left = 7, y_up_left = 184, x_down_right = 94, y_down_right = 94, perimeter = 354, color = LIGHT_BLUE
442: Rectangle, x_up_left = 129, y_up_left = 193, x_down_right = 141, y_down_right = 28, perimeter = 354, color = GREEN
443: Triangle, x1 = 138, y1 = 78, x2 = 153, y2 = 181, x3 = 41, y3 = 77, perimeter = 353.931, color = RED
444: Triangle, x1 = 50, y1 = 61, x2 = 194, y2 = 155, x3 = 148, y3 = 154, perimeter = 353.08, color = BLUE
445: Rectangle, x_up_left = 66, y_up_left = 83, x_down_right = 188, y_down_right = 29, perimeter = 352, color = VIOLET
446: Rectangle, x_up_left = 99, y_up_left = 139, x_down_right = 149, y_down_right = 13, perimeter = 352, color = VIOLET
447: Rectangle, x_up_left = 6, y_up_left = 199, x_down_right = 152, y_down_right = 169, perimeter = 352, color = BLUE
448: Triangle, x1 = 146, y1 = 76, x2 = 200, y2 = 184, x3 = 102, y3 = 40, perimeter = 351.782, color = YELLOW
449: Circle, x = 79, y = 92, radius = 56, perimeter = 351.68, color = ORANGE
450: Circle, x = 9, y = 114, radius = 56, perimeter = 351.68, color = VIOLET
451: Triangle, x1 = 171, y1 = 140, x2 = 1, y2 = 125, x3 = 6, y3 = 140, perimeter = 351.472, color = RED
452: Triangle, x1 = 152, y1 = 170, x2 = 165, y2 = 142, x3 = 8, y3 = 103, perimeter = 351.466, color = GREEN
453: Triangle, x1 = 161, y1 = 97, x2 = 85, y2 = 179, x3 = 37, y3 = 76, perimeter = 351.204, color = LIGHT_BLUE
454: Triangle, x1 = 65, y1 = 167, x2 = 139, y2 = 19, x3 = 83, y3 = 44, perimeter = 351.106, color = YELLOW
455: Triangle, x1 = 77, y1 = 19, x2 = 24, y2 = 103, x3 = 27, y3 = 183, perimeter = 350.832, color = ORANGE
456: Triangle, x1 = 19, y1 = 92, x2 = 1, y2 = 16, x3 = 123, y3 = 125, perimeter = 350.813, color = ORANGE
457: Triangle, x1 = 68, y1 = 15, x2 = 32, y2 = 148, x3 = 99, y3 = 157, perimeter = 350.732, color = GREEN
458: Rectangle, x_up_left = 88, y_up_left = 144, x_down_right = 153, y_down_right = 34, perimeter = 350, color = GREEN
459: Rectangle, x_up_left = 10, y_up_left = 59, x_down_right = 181, y_down_right = 55, perimeter = 350, color = BLUE
460: Triangle, x1 = 87, y1 = 52, x2 = 185, y2 = 193, x3 = 160, y3 = 118, perimeter = 349.181, color = ORANGE
461: Triangle, x1 = 24, y1 = 79, x2 = 138, y2 = 154, x3 = 40, y3 = 187, perimeter = 349.045, color = RED
462: Triangle, x1 = 157, y1 = 156, x2 = 36, y2 = 48, x3 = 153, y3 = 96, perimeter = 348.785, color = YELLOW
463: Rectangle, x_up_left = 29, y_up_left = 138, x_down_right = 170, y_down_right = 105, perimeter = 348, color = GREEN
464: Rectangle, x_up_left = 95, y_up_left = 194, x_down_right = 180, y_down_right = 105, perimeter = 348, color = BLUE
465: Triangle, x1 = 140, y1 = 51, x2 = 57, y2 = 152, x3 = 169, y3 = 19, perimeter = 347.791, color = YELLOW
466: Triangle, x1 = 193, y1 = 84, x2 = 43, y2 = 163, x3 = 114, y3 = 97, perimeter = 346.532, color = LIGHT_BLUE
467: Triangle, x1 = 196, y1 = 67, x2 = 91, y2 = 179, x3 = 197, y3 = 45, perimeter = 346.401, color = BLUE
468: Triangle, x1 = 25, y1 = 155, x2 = 114, y2 = 98, x3 = 138, y3 = 30, perimeter = 346.304, color = VIOLET
469: Rectangle, x_up_left = 6, y_up_left = 93, x_down_right = 138, y_down_right = 52, perimeter = 346, color = BLUE
470: Rectangle, x_up_left = 34, y_up_left = 52, x_down_right = 157, y_down_right = 2, perimeter = 346, color = YELLOW
471: Rectangle, x_up_left = 66, y_up_left = 179, x_down_right = 169, y_down_right = 109, perimeter = 346, color = RED
472: Rectangle, x_up_left = 83, y_up_left = 183, x_down_right = 191, y_down_right = 118, perimeter = 346, color = YELLOW
473: Triangle, x1 = 30, y1 = 17, x2 = 100, y2 = 77, x3 = 178, y3 = 103, perimeter = 345.587, color = BLUE
474: Circle, x = 73, y = 31, radius = 55, perimeter = 345.4, color = YELLOW
475: Circle, x = 188, y = 112, radius = 55, perimeter = 345.4, color = YELLOW
476: Circle, x = 41, y = 28, radius = 55, perimeter = 345.4, color = VIOLET
477: Triangle, x1 = 78, y1 = 41, x2 = 118, y2 = 142, x3 = 194, y3 = 49, perimeter = 345.012, color = RED
478: Rectangle, x_up_left = 11, y_up_left = 134, x_down_right = 76, y_down_right = 27, perimeter = 344, color = LIGHT_BLUE
479: Rectangle, x_up_left = 69, y_up_left = 144, x_down_right = 165, y_down_right = 68, perimeter = 344, color = VIOLET
480: Triangle, x1 = 53, y1 = 158, x2 = 129, y2 = 46, x3 = 74, y3 = 15, perimeter = 343.02, color = BLUE
481: Rectangle, x_up_left = 99, y_up_left = 119, x_down_right = 170, y_down_right = 19, perimeter = 342, color = VIOLET
482: Triangle, x1 = 168, y1 = 162, x2 = 83, y2 = 19, x3 = 171, y3 = 125, perimeter = 341.244, color = VIOLET
483: Triangle, x1 = 156, y1 = 166, x2 = 166, y2 = 7, x3 = 125, y3 = 44, perimeter = 340.418, color = ORANGE
484: Rectangle, x_up_left = 90, y_up_left = 76, x_down_right = 198, y_down_right = 14, perimeter = 340, color = YELLOW
485: Rectangle, x_up_left = 13, y_up_left = 178, x_down_right = 125, y_down_right = 120, perimeter = 340, color = GREEN
486: Triangle, x1 = 143, y1 = 156, x2 = 157, y2 = 53, x3 = 46, y3 = 131, perimeter = 339.782, color = GREEN
487: Triangle, x1 = 41, y1 = 136, x2 = 130, y2 = 125, x3 = 143, y3 = 26, perimeter = 339.54, color = VIOLET
488: Circle, x = 164, y = 85, radius = 54, perimeter = 339.12, color = ORANGE
489: Circle, x = 22, y = 96, radius = 54, perimeter = 339.12, color = BLUE
490: Circle, x = 129, y = 18, radius = 54, perimeter = 339.12, color = VIOLET
491: Triangle, x1 = 73, y1 = 65, x2 = 166, y2 = 101, x3 = 119, y3 = 193, perimeter = 339.05, color = RED
492: Triangle, x1 = 26, y1 = 118, x2 = 100, y2 = 169, x3 = 97, y3 = 32, perimeter = 338.426, color = RED
493: Triangle, x1 = 147, y1 = 23, x2 = 81, y2 = 27, x3 = 37, y3 = 134, perimeter = 338.087, color = RED
494: Rectangle, x_up_left = 38, y_up_left = 136, x_down_right = 135, y_down_right = 64, perimeter = 338, color = RED
495: Rectangle, x_up_left = 95, y_up_left = 181, x_down_right = 133, y_down_right = 50, perimeter = 338, color = BLUE
496: Triangle, x1 = 99, y1 = 46, x2 = 81, y2 = 179, x3 = 13, y3 = 124, perimeter = 337.774, color = GREEN
497: Triangle, x1 = 131, y1 = 23, x2 = 76, y2 = 180, x3 = 70, y3 = 159, perimeter = 337.249, color = BLUE
498: Triangle, x1 = 23, y1 = 193, x2 = 131, y2 = 117, x3 = 151, y3 = 191, perimeter = 336.731, color = BLUE
499: Rectangle, x_up_left = 72, y_up_left = 119, x_down_right = 188, y_down_right = 67, perimeter = 336, color = RED
500: Triangle, x1 = 99, y1 = 22, x2 = 74, y2 = 34, x3 = 104, y3 = 180, perimeter = 334.86, color = VIOLET
501: Triangle, x1 = 107, y1 = 20, x2 = 144, y2 = 93, x3 = 113, y3 = 180, perimeter = 334.312, color = ORANGE
502: Rectangle, x_up_left = 15, y_up_left = 44, x_down_right = 156, y_down_right = 18, perimeter = 334, color = BLUE
503: Triangle, x1 = 52, y1 = 67, x2 = 162, y2 = 78, x3 = 173, y3 = 152, perimeter = 333.233, color = LIGHT_BLUE
504: Triangle, x1 = 48, y1 = 188, x2 = 14, y2 = 156, x3 = 24, y3 = 30, perimeter = 332.899, color = BLUE
505: Circle, x = 79, y = 22, radius = 53, perimeter = 332.84, color = ORANGE
506: Circle, x = 160, y = 37, radius = 53, perimeter = 332.84, color = YELLOW
507: Triangle, x1 = 22, y1 = 21, x2 = 147, y2 = 25, x3 = 123, y3 = 100, perimeter = 332.037, color = ORANGE
508: Rectangle, x_up_left = 85, y_up_left = 153, x_down_right = 102, y_down_right = 4, perimeter = 332, color = YELLOW
509: Rectangle, x_up_left = 4, y_up_left = 117, x_down_right = 83, y_down_right = 30, perimeter = 332, color = ORANGE
510: Triangle, x1 = 114, y1 = 191, x2 = 192, y2 = 128, x3 = 43, y3 = 157, perimeter = 330.782, color = ORANGE
511: Triangle, x1 = 43, y1 = 179, x2 = 57, y2 = 19, x3 = 78, y3 = 98, perimeter = 330.593, color = GREEN
512: Triangle, x1 = 195, y1 = 13, x2 = 200, y2 = 117, x3 = 100, y3 = 89, perimeter = 329.626, color = GREEN
513: Triangle, x1 = 158, y1 = 25, x2 = 55, y2 = 143, x3 = 125, y3 = 117, perimeter = 329.042, color = RED
514: Triangle, x1 = 91, y1 = 41, x2 = 12, y2 = 70, x3 = 69, y3 = 169, perimeter = 328.268, color = VIOLET
515: Triangle, x1 = 22, y1 = 180, x2 = 25, y2 = 197, x3 = 175, y3 = 155, perimeter = 328.061, color = YELLOW
516: Rectangle, x_up_left = 58, y_up_left = 83, x_down_right = 153, y_down_right = 14, perimeter = 328, color = VIOLET
517: Triangle, x1 = 133, y1 = 31, x2 = 160, y2 = 188, x3 = 144, y3 = 181, perimeter = 327.172, color = GREEN
518: Circle, x = 38, y = 157, radius = 52, perimeter = 326.56, color = VIOLET
519: Circle, x = 70, y = 104, radius = 52, perimeter = 326.56, color = RED
520: Circle, x = 68, y = 31, radius = 52, perimeter = 326.56, color = VIOLET
521: Triangle, x1 = 116, y1 = 146, x2 = 26, y2 = 63, x3 = 132, y3 = 50, perimeter = 326.548, color = YELLOW
522: Triangle, x1 = 34, y1 = 188, x2 = 87, y2 = 46, x3 = 92, y3 = 153, perimeter = 326.427, color = BLUE
523: Triangle, x1 = 24, y1 = 74, x2 = 14, y2 = 40, x3 = 88, y3 = 185, perimeter = 326.36, color = RED
